school,ein,CEO_TOTAL,MBB_TOTAL,WBB_TOTAL
Adelphi University,111630741,"$1,130,308.00 ",NA,NA
Chapman University,951643992,"$1,839,509.00 ",NA,NA
Duquesne University,251035663,"$1,280,083.00 ","$1,292,703.00 ","$345,392.00 "
Hofstra University,111630906,"$1,295,560.00 ","$911,403.00 ",NA
Loyola Marymount University,951643334,"$1,180,433.00 ","$1,101,339.00 ",NA
Loyola University Chicago,361408475,"$1,299,337.00 ","$919,547.00 ",NA
Marquette University,390806251,"$902,977.00 ","$3,973,244.00 ","$555,346.00 "
Mercer University,580566167,"$726,059.00 ","$337,925.00 ",NA
Pace University,135562314,"$1,115,748.00 ",NA,NA
Saint Louis University,430654872,"$940,898.00 ","$2,831,565.00 ","$2,831,565.00 "
Seattle University,910565006,"$874,110.00 ","$352,475.00 ",NA
Seton Hall University,221500645,"$1,887,638.00 ","$2,204,572.00 ","$513,704.00 "
St. John's University-New York,111630830,$0.00 ,"$2,492,079.00 ","$689,116.00 "
Syracuse University,150532081,"$1,760,894.00 ","$2,667,977.00 ","$2,667,977.00 "
University of Denver,840404231,"$1,272,537.00 ",NA,NA
University of La Verne,951644026,"$848,135.00 ",NA,NA
University of San Diego,952544535,"$1,173,220.00 ","$989,057.00 ",NA
University of San Francisco,941156628,$0.00 ,"$933,831.00 ",NA
University of St Thomas,410693970,"$727,604.00 ",NA,NA
Butler University,350867977,"$999,599.00 ",NA,"$376,353.00 "
Creighton University,470376583,"$472,235.00 ",NA,NA
Georgetown University,530196603,"$1,902,245.00 ","$12,574,441.00 ",NA
Villanova University,231352688,"$1,047,311.00 ","$1,871,618.00 ","$598,448.00 "
DePaul University,362167048,"$1,184,685.00 ","$1,591,505.00 ","$597,134.00 "
Suffolk University,42133255,NA,NA,NA
Providence College,050258932,NA,NA,NA
Xavier University,310537516,"$806,566.00 ","$3,094,925.00 ","$278,177.00 "
University of Connecticut ,60772160,"663,313","7,775,000","3,100,000"
