school,ein,xml_file,name,title,comp_org,comp_related,comp_other
Butler University,350867977,/Users/jakecox/rstudio/990-scraper/990_XML/350867977.xml,Thad Matta,Men's Basketball Coach,2636040,0,53065
Butler University,350867977,/Users/jakecox/rstudio/990-scraper/990_XML/350867977.xml,Austin Parkinson,Women's Basketball Coach,339613,0,36740
Creighton University,470376583,/Users/jakecox/rstudio/990-scraper/990_XML/470376583.xml,Gregory McDermott,Athletic Coach,3160922,0,58333
DePaul University,362167048,/Users/jakecox/rstudio/990-scraper/990_XML/362167048.xml,MR ANTHONY STUBBLEFIELD,MEN'S HEAD BASKETBALL COACH,1528232,0,63273
DePaul University,362167048,/Users/jakecox/rstudio/990-scraper/990_XML/362167048.xml,MR RICHARD BRUNO,WOMEN'S HEAD BASKETBALL COACH,542154,0,54980
Duquesne University,251035663,/Users/jakecox/rstudio/990-scraper/990_XML/251035663.xml,KEITH DAMBROT,HEAD COACH MEN BASKETBALL,976396,0,316307
Duquesne University,251035663,/Users/jakecox/rstudio/990-scraper/990_XML/251035663.xml,DANIEL BURT,HEAD COACH WOMENS BASKETBA,329816,0,15576
Georgetown University,530196603,/Users/jakecox/rstudio/990-scraper/990_XML/530196603.xml,Patrick A Ewing,Former Men's Basketball Coach,12549824,0,24617
Georgetown University,530196603,/Users/jakecox/rstudio/990-scraper/990_XML/530196603.xml,Ed Cooley,Men's Basketball Coach,3963610,0,41377
Hofstra University,111630906,/Users/jakecox/rstudio/990-scraper/990_XML/111630906.xml,Craig Claxton,Head Men's Basketball Coach,796549,0,114854
Loyola Marymount University,951643334,/Users/jakecox/rstudio/990-scraper/990_XML/951643334.xml,STANTON B JOHNSON III,MEN'S BASKETBALL COACH,1014920,0,86419
Loyola University Chicago,361408475,/Users/jakecox/rstudio/990-scraper/990_XML/361408475.xml,CARLTON VALENTINE,HEAD MEN'S BASKETBALL COACH,851023,0,68524
Marquette University,390806251,/Users/jakecox/rstudio/990-scraper/990_XML/390806251.xml,Mr DeAndre I Haynes,Mens Basketball Assistant Coach,508769,0,0
Marquette University,390806251,/Users/jakecox/rstudio/990-scraper/990_XML/390806251.xml,Mr Shaka Smart,Mens Basketball Head Coach,3973244,0,0
Marquette University,390806251,/Users/jakecox/rstudio/990-scraper/990_XML/390806251.xml,Ms Megan Duffy,Womens Basketball Head Coach,555346,0,0
Marquette University,390806251,/Users/jakecox/rstudio/990-scraper/990_XML/390806251.xml,Mr Ryan A Theis,Womens Volleyball Head Coach,406137,0,0
Mercer University,580566167,/Users/jakecox/rstudio/990-scraper/990_XML/580566167.xml,ANDREW CRONIC,HEAD FOOTBALL COACH,304490,0,49463
Mercer University,580566167,/Users/jakecox/rstudio/990-scraper/990_XML/580566167.xml,GREGORY GARY,HEAD MEN'S BASKETBALL COACH,315500,0,22425
Saint Louis University,430654872,/Users/jakecox/rstudio/990-scraper/990_XML/430654872.xml,TRAVIS S FORD,HEAD COACH-BASKETBALL,2772847,0,58718
Seattle University,910565006,/Users/jakecox/rstudio/990-scraper/990_XML/910565006.xml,Christopher Victor,"Head Coach, Men's Basketball",303854,0,48621
Seton Hall University,221500645,/Users/jakecox/rstudio/990-scraper/990_XML/221500645.xml,SHAHEEN HOLLOWAY,HEAD COACH MEN'S BASKETBALL,2132686,0,71886
Seton Hall University,221500645,/Users/jakecox/rstudio/990-scraper/990_XML/221500645.xml,ANTHONY J BOZZELLA,HEAD COACH WOMEN'S BASKETBALL,444623,0,69081
St. John's University-New York,111630830,/Users/jakecox/rstudio/990-scraper/990_XML/111630830.xml,RICHARD A PITINO,HEAD COACH MEN'S BASKETBALL - BEGAN 3/19/23,2436491,0,55588
St. John's University-New York,111630830,/Users/jakecox/rstudio/990-scraper/990_XML/111630830.xml,MICHAEL A ANDERSON,HEAD COACH MEN'S BASKETBALL - THRU 3/10/23,538751,0,50101
St. John's University-New York,111630830,/Users/jakecox/rstudio/990-scraper/990_XML/111630830.xml,JOSEPH L TARTAMELLA,HEAD COACH WOMEN'S BASKETBALL,594048,0,95068
Syracuse University,150532081,/Users/jakecox/rstudio/990-scraper/990_XML/150532081.xml,JAMES BOEHEIM,BASKETBALL HEAD COACH,2609654,0,58323
Syracuse University,150532081,/Users/jakecox/rstudio/990-scraper/990_XML/150532081.xml,ADRIAN AUTRY,BASKETBALL HEAD COACH,1786673,0,59850
Syracuse University,150532081,/Users/jakecox/rstudio/990-scraper/990_XML/150532081.xml,DINO BABERS,FOOTBALL HEAD COACH,12957233,0,55878
University of Denver,840404231,/Users/jakecox/rstudio/990-scraper/990_XML/840404231.xml,DAVID CARLE,HEAD COACH,602807,0,52745
University of Denver,840404231,/Users/jakecox/rstudio/990-scraper/990_XML/840404231.xml,JEFFREY WULBURN,HEAD COACH,361096,0,53058
University of San Diego,952544535,/Users/jakecox/rstudio/990-scraper/990_XML/952544535.xml,STEVEN LAVIN,"HEAD COACH, MEN'S BASKETBALL",945456,0,43601
University of San Francisco,941156628,/Users/jakecox/rstudio/990-scraper/990_XML/941156628.xml,Mr Gerlufsen,"Head Coach, Men's Baseketball",881873,0,51958
University of St Thomas,410693970,/Users/jakecox/rstudio/990-scraper/990_XML/410693970.xml,Glenn Caruso,FOOTBALL COACH,378983,0,65018
Villanova University,231352688,/Users/jakecox/rstudio/990-scraper/990_XML/231352688.xml,MR KYLE A NEPTUNE,"COACH, MEN'S BASKETBALL",1736558,0,135060
Villanova University,231352688,/Users/jakecox/rstudio/990-scraper/990_XML/231352688.xml,MS DENISE E DILLON,"COACH, WOMEN'S BASKETBALL",561806,0,36642
