school,ein,xml_file,name,title,comp_org,comp_related,comp_other
Adelphi University,111630741,/Users/jakecox/rstudio/990-scraper/990_XML/111630741.xml,DR CHRISTINE RIORDAN,PRESIDENT,945453,0,184855
Chapman University,951643992,/Users/jakecox/rstudio/990-scraper/990_XML/951643992.xml,DANIELE STRUPPA,PRESIDENT/EX-OFFICIO TRUSTEE,1256399,0,583110
Duquesne University,251035663,/Users/jakecox/rstudio/990-scraper/990_XML/251035663.xml,KENNETH G GORMLEY,PRESIDENT EX OFFICIO BOARD,1232525,0,47558
Hofstra University,111630906,/Users/jakecox/rstudio/990-scraper/990_XML/111630906.xml,Susan Poser,President,1237529,0,58031
Loyola Marymount University,951643334,/Users/jakecox/rstudio/990-scraper/990_XML/951643334.xml,TIMOTHY LAW SNYDER,PRESIDENT/TRUSTEE,911975,0,268458
Loyola University Chicago,361408475,/Users/jakecox/rstudio/990-scraper/990_XML/361408475.xml,MARK C REED,PRESIDENT,1234949,0,64388
Marquette University,390806251,/Users/jakecox/rstudio/990-scraper/990_XML/390806251.xml,Dr Michael R Lovell,President,902977,0,0
Mercer University,580566167,/Users/jakecox/rstudio/990-scraper/990_XML/580566167.xml,WILLIAM UNDERWOOD,PRESIDENT/PROFESSOR,672316,0,53743
Pace University,135562314,/Users/jakecox/rstudio/990-scraper/990_XML/135562314.xml,MARVIN KRISLOV,"TRUSTEE, PRESIDENT",711748,0,404000
Saint Louis University,430654872,/Users/jakecox/rstudio/990-scraper/990_XML/430654872.xml,FRED P PESTELLO,PRESIDENT,905791,0,35107
Seattle University,910565006,/Users/jakecox/rstudio/990-scraper/990_XML/910565006.xml,Eduardo Penalver,President and Board Member,781288,0,92822
Seton Hall University,221500645,/Users/jakecox/rstudio/990-scraper/990_XML/221500645.xml,JOSEPH E NYRE PHD,PRESIDENT/CEO/REGENT/TRUSTEE,1719479,0,168159
St. John's University-New York,111630830,/Users/jakecox/rstudio/990-scraper/990_XML/111630830.xml,REV BRIAN J SHANLEY OP PHD,PRESIDENT,0,0,0
Syracuse University,150532081,/Users/jakecox/rstudio/990-scraper/990_XML/150532081.xml,KENT SYVERUD,CHANCELLOR AND PRESIDENT,1189621,0,571273
University of Denver,840404231,/Users/jakecox/rstudio/990-scraper/990_XML/840404231.xml,JEREMY HAEFNER,CHANCELLOR,1127479,0,145058
University of La Verne,951644026,/Users/jakecox/rstudio/990-scraper/990_XML/951644026.xml,DEVORAH A LIEBERMAN,PRESIDENT (THRU 08/23),793956,0,54179
University of San Diego,952544535,/Users/jakecox/rstudio/990-scraper/990_XML/952544535.xml,JAMES T HARRIS III,PRESIDENT & TRUSTEE,1060727,0,112493
University of San Francisco,941156628,/Users/jakecox/rstudio/990-scraper/990_XML/941156628.xml,Rev Fitzgerald SJ,President,0,0,0
University of St Thomas,410693970,/Users/jakecox/rstudio/990-scraper/990_XML/410693970.xml,Sonali Dalal,VICE PRESIDENT AND CHIEF INVESTMENT OFFICER,699965,0,27639
Butler University,350867977,/Users/jakecox/rstudio/990-scraper/990_XML/350867977.xml,James Danko,President,934831,0,64768
Creighton University,470376583,/Users/jakecox/rstudio/990-scraper/990_XML/470376583.xml,Jan Madsen,Executive Vice President,447430,0,24805
Georgetown University,530196603,/Users/jakecox/rstudio/990-scraper/990_XML/530196603.xml,John J DeGioia PhD C'79 G'95,President & Board Member,1610813,0,291432
Villanova University,231352688,/Users/jakecox/rstudio/990-scraper/990_XML/231352688.xml,MR JEROLD T WRIGHT,ASSISTANT TO THE PRESIDENT,997961,0,49350
DePaul University,362167048,/Users/jakecox/rstudio/990-scraper/990_XML/362167048.xml,DR ROBERT MANUEL,PRESIDENT & TRUSTEE,1037912,0,146773
